date,rate_USD
2024-12-01,107.7409
2024-12-02,107.7409
2024-12-03,107.1758
2024-12-04,106.1878
2024-12-05,104.2361
2024-12-06,103.3837
2024-12-07,99.4215
2024-12-08,99.4215
2024-12-09,99.4215
2024-12-10,99.3759
2024-12-11,100.0324
2024-12-12,103.2707
2024-12-13,103.95
2024-12-14,103.4305
2024-12-15,103.4305
2024-12-16,103.4305
2024-12-17,102.9125
2024-12-18,102.9979
2024-12-19,102.7763
2024-12-20,103.4207
2024-12-21,102.3438
2024-12-22,102.3438
2024-12-23,102.3438
2024-12-24,101.6143
2024-12-25,99.8729
2024-12-26,99.6125
2024-12-27,99.2295
2024-12-28,100.5281
2024-12-29,101.6797
2024-12-30,101.6797
2024-12-31,101.6797
2025-01-01,101.6797
2025-01-02,101.6797
2025-01-03,101.6797
2025-01-04,101.6797
2025-01-05,101.6797
2025-01-06,101.6797
2025-01-07,101.6797
2025-01-08,101.6797
2025-01-09,101.6797
2025-01-10,102.2911
2025-01-11,101.9146
2025-01-12,101.9146
2025-01-13,101.9146
2025-01-14,3.178175449371338
